gmina_code,powiat_code,voivodeship_code,gmina_name,population,iwl_score,vulnerable_population_est,rescue_travel_time_min,event_time,customers_without_power,outage_start,hours_without_power,coverage_pct,feels_like_c,temp_component,outage_component,telecom_component,rescue_component,izz_score,life_threat_level,vulnerable_without_power
2005003,2005,20,gmina podlaskie-miejski-05-03,15946,96.87,3293,50.8,2026-01-16 15:08:00+00:00,4609.0,2026-01-14 05:08:00+00:00,58.86666666666667,0.03,-22.8,0.52,0.8175925925925926,0.97,0.6773333333333333,82.82,critical,952
2001003,2001,20,gmina podlaskie-południowy-01-03,16951,85.94,3308,47.3,2026-01-16 14:42:00+00:00,4821.0,2026-01-14 04:42:00+00:00,59.3,0.03,-24.7,0.6466666666666666,0.8236111111111111,0.97,0.6306666666666666,80.89,critical,941
2818005,2818,28,gmina warmińsko-mazurskie-północny-18-05,24788,91.13,5018,40.2,2026-01-16 14:49:00+00:00,19877.0,2026-01-14 12:49:00+00:00,51.18333333333333,0.03,-25.4,0.6933333333333332,0.7108796296296296,0.97,0.536,79.85,critical,4024
2014002,2014,20,gmina podlaskie-wschodni-14-02,20257,80.76,4131,48.7,2026-01-16 15:04:00+00:00,16455.0,2026-01-14 13:04:00+00:00,50.93333333333333,0.03,-28.2,0.88,0.7074074074074074,0.97,0.6493333333333333,79.73,critical,3356
1425001,1425,14,gmina mazowieckie-południowy-25-01,15585,83.56,2960,50.8,2026-01-16 15:02:00+00:00,3990.0,2026-01-14 07:02:00+00:00,56.96666666666667,0.03,-24.9,0.6599999999999999,0.7912037037037037,0.97,0.6773333333333333,79.49,critical,758
2808003,2808,28,gmina warmińsko-mazurskie-wschodni-08-03,15422,94.16,3064,31.9,2026-01-16 14:45:00+00:00,10679.0,2026-01-14 16:45:00+00:00,47.25,0.03,-25.7,0.7133333333333333,0.65625,0.97,0.42533333333333334,79.16,critical,2122
2810003,2810,28,gmina warmińsko-mazurskie-centralny-10-03,43969,92.05,8878,50.2,2026-01-16 14:28:00+00:00,14903.0,2026-01-14 06:28:00+00:00,57.53333333333333,0.03,-21.7,0.4466666666666666,0.799074074074074,0.97,0.6693333333333333,79.07,critical,3009
2006001,2006,20,gmina podlaskie-północny-06-01,34695,89.37,7119,46.2,2026-01-16 14:16:00+00:00,26189.0,2026-01-14 12:16:00+00:00,51.733333333333334,0.03,-24.7,0.6466666666666666,0.7185185185185186,0.97,0.616,78.97,critical,5374
2803002,2803,28,gmina warmińsko-mazurskie-zachodni-03-02,19680,89.51,3674,37.9,2026-01-16 15:04:00+00:00,4545.0,2026-01-14 07:04:00+00:00,56.93333333333333,0.03,-22.6,0.5066666666666667,0.7907407407407407,0.97,0.5053333333333333,78.11,critical,848
0623002,0623,6,gmina lubelskie-miejski-23-02,21519,83.21,3551,38.6,2026-01-16 14:28:00+00:00,15242.0,2026-01-14 12:28:00+00:00,51.53333333333333,0.03,-26.3,0.7533333333333334,0.7157407407407407,0.97,0.5146666666666667,77.96,critical,2515
1422003,1422,14,gmina mazowieckie-centralny-22-03,15216,84.92,3164,54.9,2026-01-16 14:27:00+00:00,2884.0,2026-01-14 10:27:00+00:00,53.55,0.03,-24.0,0.6,0.7437499999999999,0.97,0.732,77.77,critical,600
2808001,2808,28,gmina warmińsko-mazurskie-wschodni-08-01,16555,88.18,3431,42.0,2026-01-16 15:39:00+00:00,11124.0,2026-01-14 19:39:00+00:00,44.35,0.03,-25.7,0.7133333333333333,0.6159722222222223,0.97,0.56,76.36,critical,2305
0615003,0615,6,gmina lubelskie-zachodni-15-03,17130,86.29,3198,47.2,2026-01-16 15:11:00+00:00,2866.0,2026-01-14 21:11:00+00:00,42.81666666666667,0.03,-25.9,0.7266666666666666,0.594675925925926,0.97,0.6293333333333334,75.59,critical,535
1401001,1401,14,gmina mazowieckie-południowy-01-01,15484,83.95,3166,50.9,2026-01-16 15:15:00+00:00,5504.0,2026-01-14 21:15:00+00:00,42.75,0.03,-26.1,0.7400000000000001,0.59375,0.97,0.6786666666666666,75.16,critical,1125
