gmina_code,population,share_75_plus,single_senior_households,home_oxygen_patients,dialysis_patients,disability_share,care_facility_pressure,children_facilities,electric_heating_pct,no_alt_heat_buildings_pct,energy_poverty_pct,remote_rurality,telecom_gap_pct,rescue_travel_time_min,vulnerable_population_est,share_75_plus_norm,single_senior_households_norm,home_oxygen_patients_norm,dialysis_patients_norm,disability_share_norm,care_facility_pressure_norm,children_facilities_norm,electric_heating_pct_norm,no_alt_heat_buildings_pct_norm,energy_poverty_pct_norm,remote_rurality_norm,telecom_gap_pct_norm,rescue_travel_time_min_norm,iwl_score
2817005,15132,0.1619,0.118,12,9,0.1726,0.3764,3,0.2786,0.3867,0.1659,0.9307,0.2551,55.8,3286,0.6579,0.7687,0.1212,0.2368,0.7723,0.4557,0.0556,0.8079,0.686,0.5694,0.9307,0.6566,0.8991,100.0
0608002,9617,0.1436,0.149,8,3,0.1371,0.4528,2,0.2887,0.4172,0.1837,0.9953,0.3015,43.6,1938,0.5549,1.0,0.0808,0.0789,0.5655,0.5482,0.037,0.8394,0.7446,0.6366,0.9953,0.7761,0.6832,99.43
1437002,20564,0.168,0.1065,14,4,0.1598,0.2876,4,0.3197,0.3134,0.1871,0.9896,0.2685,55.3,4607,0.6922,0.6828,0.1414,0.1053,0.6977,0.3482,0.0741,0.9363,0.545,0.6494,0.9896,0.6911,0.8903,97.7
2005003,15946,0.1476,0.1405,8,3,0.1881,0.3704,6,0.2528,0.4215,0.1471,0.8179,0.2682,50.8,3293,0.5774,0.9366,0.0808,0.0789,0.8626,0.4484,0.1111,0.7273,0.7529,0.4985,0.8179,0.6903,0.8106,96.87
2012001,20006,0.1311,0.1121,15,2,0.1381,0.4977,7,0.3134,0.3775,0.1831,1.0,0.2547,43.1,3891,0.4845,0.7246,0.1515,0.0526,0.5713,0.6025,0.1296,0.9166,0.6683,0.6343,1.0,0.6556,0.6743,95.03
0608005,13464,0.2131,0.0938,7,4,0.1175,0.443,4,0.153,0.4658,0.1712,1.0,0.3498,51.2,3064,0.946,0.5881,0.0707,0.1053,0.4514,0.5363,0.0741,0.4155,0.8381,0.5894,1.0,0.9004,0.8177,94.5
2808003,15422,0.1721,0.0964,12,3,0.1409,0.5344,6,0.292,0.4057,0.1344,0.9972,0.31,31.9,3064,0.7153,0.6075,0.1212,0.0789,0.5877,0.647,0.1111,0.8497,0.7225,0.4506,0.9972,0.7979,0.4761,94.16
1442005,18955,0.1535,0.0923,18,5,0.1222,0.4492,5,0.2358,0.4109,0.207,1.0,0.2943,42.8,4003,0.6106,0.5769,0.1818,0.1316,0.4787,0.5438,0.0926,0.6742,0.7325,0.7245,1.0,0.7575,0.669,93.34
0607006,16365,0.1524,0.0814,8,3,0.1021,0.3158,9,0.3194,0.4088,0.2052,1.0,0.2583,61.5,3310,0.6044,0.4955,0.0808,0.0789,0.3617,0.3823,0.1667,0.9353,0.7285,0.7177,1.0,0.6649,1.0,93.13
0603007,6852,0.1767,0.0865,7,4,0.141,0.2328,4,0.3401,0.3971,0.2007,1.0,0.2401,40.6,1565,0.7411,0.5336,0.0707,0.1053,0.5882,0.2818,0.0741,1.0,0.706,0.7008,1.0,0.618,0.6301,92.99
1433004,14041,0.1648,0.0857,15,3,0.114,0.3537,3,0.3314,0.3511,0.1614,1.0,0.291,50.7,2757,0.6742,0.5276,0.1515,0.0789,0.431,0.4282,0.0556,0.9728,0.6175,0.5525,1.0,0.749,0.8088,92.78
0605004,10914,0.1534,0.1135,11,0,0.118,0.3927,2,0.2567,0.4248,0.1869,1.0,0.282,48.9,2198,0.61,0.7351,0.1111,0.0,0.4543,0.4754,0.037,0.7395,0.7592,0.6487,1.0,0.7259,0.777,92.46
2810003,43969,0.1278,0.0803,35,6,0.1572,0.0835,14,0.2331,0.4357,0.1892,1.0,0.2816,50.2,8878,0.466,0.4873,0.3535,0.1579,0.6826,0.1011,0.2593,0.6657,0.7802,0.6574,1.0,0.7248,0.8,92.05
2815003,10846,0.183,0.1049,7,4,0.1563,0.3035,8,0.328,0.3058,0.1384,0.9011,0.2308,43.5,2296,0.7766,0.6709,0.0707,0.1053,0.6773,0.3674,0.1481,0.9622,0.5304,0.4657,0.9011,0.5941,0.6814,91.63
2602006,28954,0.157,0.0972,21,10,0.1937,0.2643,5,0.1833,0.3571,0.2332,0.9281,0.2326,32.3,7194,0.6303,0.6134,0.2121,0.2632,0.8952,0.32,0.0926,0.5102,0.629,0.8234,0.9281,0.5987,0.4832,91.34
2818005,24788,0.1643,0.0949,19,6,0.132,0.5366,5,0.2247,0.3836,0.1622,0.9701,0.2368,40.2,5018,0.6714,0.5963,0.1919,0.1579,0.5358,0.6496,0.0926,0.6395,0.68,0.5555,0.9701,0.6095,0.623,91.13
