heating_point_id,gmina_code,capacity,effective_daily_capacity,generator_assigned,covered_vulnerable_est,covered_gminas,score
HP-0257,0604007,314,1884,False,1884,0623002,1247.68
HP-0117,1432006,330,1980,True,1980,1437002|1432004,1240.6
HP-0374,1433005,300,1800,False,1800,1425001|1425003|1403003,1206.43
HP-0287,1411003,361,2166,False,2166,1422003|1432004|1403002,1174.62
HP-0430,2804004,357,2142,False,2142,2818005,1134.53
HP-0172,1811005,384,2304,False,2304,0615003|0619007|0615001,1105.57
HP-0316,2017003,272,1632,False,1632,2017004|2005005|2005006,1059.74
HP-0370,2001004,269,1614,False,1614,2001003|2007005,1059.06
HP-0282,0608006,360,2160,True,2160,0620001,1045.5
HP-0199,0415007,263,1578,True,1578,2812004,1022.02
HP-0162,2818001,304,1824,True,1824,2818005,1014.46
HP-0450,1432004,257,1542,False,1542,1403002|1409001,1003.91
HP-0141,1018006,326,1956,False,1956,1416007|1412005,988.88
HP-0294,0619002,245,1470,True,1470,0619001,974.8
HP-0472,1425007,327,1962,False,1962,2016002,962.71
HP-0155,0614002,348,2088,False,2088,0623002|1438005,946.51
HP-0187,1416003,403,2418,False,2418,1412005|1431005|1431003,943.06
HP-0361,2014004,320,1920,False,1920,2005003|2014002,940.25
HP-0018,1440006,322,1932,False,1932,1408006|1440001,927.95
HP-0181,1818001,245,1470,False,1470,0619001,921.05
HP-0197,0622002,275,1650,False,1650,0622002,920.76
HP-0302,1412002,288,1728,False,1728,1401001|1424004,901.88
HP-0298,2008005,197,1182,False,1182,2015003|2002001,896.81
HP-0313,1426002,316,1896,True,1896,2016002,890.14
HP-0237,2207003,342,2052,True,1664,2819004,878.56
HP-0320,1418007,271,1626,False,1626,2016001,869.52
HP-0271,2820001,272,1632,True,1632,2808003,860.76
HP-0333,0610002,359,2154,True,2154,0622002|0603007,857.48
HP-0246,1417005,194,1164,False,1164,1440001,857.14
HP-0272,1807004,216,1296,False,1296,0619006,857.14
HP-0477,1434002,330,1980,False,1980,1413002|1427003,856.4
HP-0335,1415004,264,1584,False,1584,1424004|1421002|1405002,850.7
HP-0146,2807005,319,1914,False,1914,2817005,850.67
HP-0291,0601006,340,2040,True,2040,0601002|0615001,845.77
HP-0432,2207006,227,1362,False,1362,2809006,843.87
HP-0307,1425006,212,1272,False,1272,1405002,843.5
HP-0200,1426005,316,1896,True,1896,2804003|2802003,825.78
HP-0457,0610003,332,1992,False,1992,0603007|0610003|0606006,820.43
HP-0144,2805002,179,1074,True,1074,2810003,818.6
HP-0431,1438001,220,1320,False,1320,1438005|0602006,813.81
HP-0363,0618007,199,1194,True,1194,0606007|0609004,810.04
HP-0299,1018001,276,1656,False,1656,1430005|1431003|1416002,802.33
HP-0266,1413003,179,1074,True,1074,1428007|1413003,800.3
HP-0499,1437005,170,1020,False,1020,1440001|1413003|1417001,794.39
HP-0007,1429002,212,1272,True,1272,2016001|2016002,793.02
HP-0460,1437004,169,1014,False,1014,1417001,783.62
HP-0251,1432007,229,1374,False,1374,0602002|1417001,783.35
HP-0451,1423005,190,1140,False,1140,1436006,779.75
HP-0310,1414005,198,1188,False,1188,2803002|2805003,779.53
HP-0150,2002005,208,1248,False,1248,2014001|2002001,770.37
HP-0203,1428003,166,996,False,996,1409001,764.98
HP-0201,1411004,173,1038,True,1038,1417001|1409001,759.88
HP-0340,1410005,250,1500,False,1500,1436006|1410002|1404006|1410007,759.11
HP-0418,1406001,172,1032,False,1032,1428003,757.71
HP-0392,1403004,221,1326,True,1326,1403003|1405002|1424002,755.99
HP-0406,0617002,181,1086,False,1086,0617005|0617006,755.22
HP-0295,0618002,266,1596,False,1596,0623001,752.12
HP-0114,1823001,195,1170,True,1170,0619001,750.0
HP-0219,1811002,168,1008,False,1008,0615001,733.62
HP-0443,2004001,165,990,True,990,2005006|2017005,731.17
HP-0259,1818005,166,996,False,996,0615001|0619001,727.01
HP-0076,1439003,182,1092,False,1092,2016003|2016002,725.1
HP-0154,2003005,182,1092,True,1092,2007005|2007002,725.1
HP-0429,0614006,247,1482,True,1482,0609004|0606006|0616005,724.34
HP-0265,0605004,157,942,True,942,0603002,720.18
HP-0096,1429001,207,1242,False,1242,1424002|2016002,716.26
HP-0378,2014003,233,1398,False,1398,2014002,713.99
HP-0014,0610005,205,1230,False,1230,0616005,708.53
HP-0444,2811002,225,1350,True,1350,2811001,708.29
HP-0213,1416007,148,888,True,888,1422001,705.88
HP-0024,1403005,207,1242,True,1242,1419007|1401006,700.9
HP-0147,1421004,180,1080,True,1079,1422001|1441006,700.65
HP-0402,0403006,237,1422,False,1422,2812004,697.06
HP-0437,0607003,169,1014,False,1014,0607001|0607003|0607007,676.0
HP-0336,0608004,193,1158,True,1158,0620001,674.83
HP-0204,1425001,154,924,True,924,1425007,669.57
HP-0433,2812001,138,828,False,828,2816003|2805003,666.67
HP-0421,1010006,162,972,True,972,1416002|1428002,664.84
HP-0264,1420002,208,1248,False,1248,2804002,664.54
HP-0412,2811003,162,972,False,972,2811001|2811004,659.43
