team_id,sequence,person_token,gmina_code,eta_min,action
OSP-TEAM-01,1,PRIO-00677,0207005,31.9,visit_or_call_first_if_coverage_available
OSP-TEAM-01,2,PRIO-00751,0225004,75.8,visit_or_call_first_if_coverage_available
OSP-TEAM-01,3,PRIO-00991,0206002,112.7,visit_or_call_first_if_coverage_available
OSP-TEAM-01,4,PRIO-00833,0214007,159.5,visit_or_call_first_if_coverage_available
OSP-TEAM-01,5,PRIO-00726,0206003,196.2,visit_or_call_first_if_coverage_available
OSP-TEAM-01,6,PRIO-00888,0202003,238.8,visit_or_call_first_if_coverage_available
OSP-TEAM-01,7,PRIO-00165,0215004,265.3,visit_or_call_first_if_coverage_available
OSP-TEAM-01,8,PRIO-00087,0224004,327.3,visit_or_call_first_if_coverage_available
OSP-TEAM-01,9,PRIO-00641,0216004,416.3,visit_or_call_first_if_coverage_available
OSP-TEAM-02,1,PRIO-00748,0417007,30.5,visit_or_call_first_if_coverage_available
OSP-TEAM-02,2,PRIO-00150,0412001,68.6,visit_or_call_first_if_coverage_available
OSP-TEAM-02,3,PRIO-00817,0423004,105.6,visit_or_call_first_if_coverage_available
OSP-TEAM-02,4,PRIO-01117,0407004,146.9,visit_or_call_first_if_coverage_available
OSP-TEAM-02,5,PRIO-01148,0412003,191.1,visit_or_call_first_if_coverage_available
OSP-TEAM-02,6,PRIO-01012,0413002,235.3,visit_or_call_first_if_coverage_available
OSP-TEAM-02,7,PRIO-00192,0419002,318.9,visit_or_call_first_if_coverage_available
OSP-TEAM-02,8,PRIO-01107,0404005,408.4,visit_or_call_first_if_coverage_available
OSP-TEAM-02,9,PRIO-00489,0411003,475.1,visit_or_call_first_if_coverage_available
OSP-TEAM-03,1,PRIO-00777,0605003,33.8,visit_or_call_first_if_coverage_available
OSP-TEAM-03,2,PRIO-00381,0605003,51.8,visit_or_call_first_if_coverage_available
OSP-TEAM-03,3,PRIO-00023,0605003,69.8,visit_or_call_first_if_coverage_available
OSP-TEAM-03,4,PRIO-00970,0605003,87.8,visit_or_call_first_if_coverage_available
OSP-TEAM-03,5,PRIO-00642,0603002,128.2,visit_or_call_first_if_coverage_available
OSP-TEAM-03,6,PRIO-00988,0603002,146.2,visit_or_call_first_if_coverage_available
OSP-TEAM-03,7,PRIO-00596,0606001,188.1,visit_or_call_first_if_coverage_available
OSP-TEAM-03,8,PRIO-00658,0606001,206.1,visit_or_call_first_if_coverage_available
OSP-TEAM-03,9,PRIO-00113,0622006,263.5,visit_or_call_first_if_coverage_available
OSP-TEAM-03,10,PRIO-00377,0622006,281.5,visit_or_call_first_if_coverage_available
OSP-TEAM-03,11,PRIO-00767,0614006,330.4,visit_or_call_first_if_coverage_available
OSP-TEAM-03,12,PRIO-00275,0603005,358.2,visit_or_call_first_if_coverage_available
OSP-TEAM-03,13,PRIO-01165,0609004,403.2,visit_or_call_first_if_coverage_available
OSP-TEAM-03,14,PRIO-00570,0609004,421.2,visit_or_call_first_if_coverage_available
OSP-TEAM-03,15,PRIO-00647,0616002,447.4,visit_or_call_first_if_coverage_available
OSP-TEAM-04,1,PRIO-00637,0813005,41.8,visit_or_call_first_if_coverage_available
OSP-TEAM-04,2,PRIO-00178,0808002,72.9,visit_or_call_first_if_coverage_available
OSP-TEAM-04,3,PRIO-00946,0813002,111.1,visit_or_call_first_if_coverage_available
OSP-TEAM-04,4,PRIO-00195,0809006,160.5,visit_or_call_first_if_coverage_available
OSP-TEAM-04,5,PRIO-00380,0811004,221.5,visit_or_call_first_if_coverage_available
OSP-TEAM-04,6,PRIO-00258,0801007,362.5,visit_or_call_first_if_coverage_available
OSP-TEAM-05,1,PRIO-00064,1011001,26.8,visit_or_call_first_if_coverage_available
OSP-TEAM-05,2,PRIO-00600,1011006,55.9,visit_or_call_first_if_coverage_available
OSP-TEAM-05,3,PRIO-00977,1008002,126.7,visit_or_call_first_if_coverage_available
OSP-TEAM-05,4,PRIO-00435,1008005,159.6,visit_or_call_first_if_coverage_available
OSP-TEAM-05,5,PRIO-00999,1008005,177.6,visit_or_call_first_if_coverage_available
