facility_id,facility_type,facility_name,gmina_code,capacity,current_occupancy,has_generator,generator_autonomy_hours,power_need_kw,lat,lon,sensitivity_label
FAC-0001,hospital,hospital 0001,0623002,189,178,True,4.5,93.3,51.12071,21.88894,Confidential - synthetic health/care aggregate
FAC-0002,DPS,DPS 0002,0221007,90,74,False,0,101.6,51.27282,17.62202,Confidential - synthetic health/care aggregate
FAC-0003,hospice,hospice 0003,1212005,76,65,True,6.3,74.4,50.90649,19.29792,Confidential - synthetic health/care aggregate
FAC-0004,hospice,hospice 0004,1011001,47,45,False,0,43.4,51.85089,19.75477,Confidential - synthetic health/care aggregate
FAC-0005,DPS,DPS 0005,1802004,121,114,False,0,55.3,49.51185,21.50328,Confidential - synthetic health/care aggregate
FAC-0006,DPS,DPS 0006,1203005,115,109,False,0,46.6,49.73198,19.59085,Confidential - synthetic health/care aggregate
FAC-0007,DPS,DPS 0007,2407005,96,60,False,0,38.7,50.57324,19.91336,Confidential - synthetic health/care aggregate
FAC-0008,DPS,DPS 0008,1013003,68,45,True,8.9,47.9,51.65868,18.91182,Confidential - synthetic health/care aggregate
FAC-0009,DPS,DPS 0009,1006002,93,66,True,15.3,66.6,51.90528,20.61613,Confidential - synthetic health/care aggregate
FAC-0010,DPS,DPS 0010,2820002,79,72,True,3.8,68.1,53.73122,20.13127,Confidential - synthetic health/care aggregate
FAC-0011,hospital,hospital 0011,3216003,220,188,True,3.3,128.8,53.30911,14.07471,Confidential - synthetic health/care aggregate
FAC-0012,night_shelter,night_shelter 0012,2217005,79,67,False,0,82.8,53.75161,17.58399,Confidential - synthetic health/care aggregate
FAC-0013,DPS,DPS 0013,0405005,88,56,True,7.3,40.0,53.27191,18.39081,Confidential - synthetic health/care aggregate
FAC-0014,DPS,DPS 0014,3207001,75,48,False,0,83.0,53.59532,14.48333,Confidential - synthetic health/care aggregate
FAC-0015,ZOL,ZOL 0015,2604003,58,43,True,13.3,65.7,51.25432,21.74703,Confidential - synthetic health/care aggregate
FAC-0016,hospice,hospice 0016,3023005,101,77,False,0,81.8,52.81393,15.4018,Confidential - synthetic health/care aggregate
FAC-0017,night_shelter,night_shelter 0017,3218005,75,47,False,0,29.0,53.15505,15.88837,Confidential - synthetic health/care aggregate
