generator_id,warehouse_id,voivodeship_code,power_kw,fuel_type,mobility_type,status,lat,lon
GEN-0001,RARS-LUB,06,50,LPG,trailer,available,51.25,22.57
GEN-0002,RCB-WAW,14,120,petrol,trailer,available,52.23,21.01
GEN-0003,RCB-WAW,14,8,LPG,portable,available,52.23,21.01
GEN-0004,RARS-POZ,30,120,diesel,portable,reserved,52.41,16.93
GEN-0005,RARS-LUB,06,200,petrol,trailer,available,51.25,22.57
GEN-0006,RCB-WAW,14,12,LPG,portable,reserved,52.23,21.01
GEN-0007,RARS-POZ,30,20,LPG,portable,available,52.41,16.93
GEN-0008,RARS-OLS,28,30,diesel,portable,available,53.78,20.48
GEN-0009,RARS-LUB,06,200,petrol,portable,maintenance,51.25,22.57
GEN-0010,MSW-BIA,20,80,diesel,trailer,available,53.13,23.16
GEN-0011,RARS-OLS,28,120,diesel,trailer,available,53.78,20.48
GEN-0012,RARS-POZ,30,120,diesel,trailer,available,52.41,16.93
GEN-0013,MSW-BIA,20,50,diesel,trailer,reserved,53.13,23.16
GEN-0014,RARS-POZ,30,200,LPG,trailer,reserved,52.41,16.93
GEN-0015,RARS-POZ,30,80,LPG,portable,available,52.41,16.93
GEN-0016,MSW-BIA,20,30,petrol,trailer,available,53.13,23.16
GEN-0017,RARS-POZ,30,8,diesel,portable,available,52.41,16.93
GEN-0018,RCB-WAW,14,80,petrol,portable,available,52.23,21.01
GEN-0019,MSW-BIA,20,50,diesel,trailer,available,53.13,23.16
GEN-0020,MSW-BIA,20,80,diesel,trailer,reserved,53.13,23.16
GEN-0021,RARS-OLS,28,12,petrol,portable,available,53.78,20.48
GEN-0022,MSW-BIA,20,120,diesel,trailer,available,53.13,23.16
GEN-0023,MSW-BIA,20,120,LPG,portable,available,53.13,23.16
GEN-0024,MSW-BIA,20,12,diesel,portable,reserved,53.13,23.16
GEN-0025,RCB-WAW,14,200,LPG,trailer,reserved,52.23,21.01
GEN-0026,RARS-LUB,06,120,diesel,trailer,available,51.25,22.57
GEN-0027,RARS-POZ,30,80,petrol,trailer,available,52.41,16.93
GEN-0028,RARS-OLS,28,8,diesel,portable,available,53.78,20.48
GEN-0029,RARS-OLS,28,120,diesel,trailer,maintenance,53.78,20.48
GEN-0030,RCB-WAW,14,120,LPG,trailer,maintenance,52.23,21.01
GEN-0031,RCB-WAW,14,120,petrol,trailer,maintenance,52.23,21.01
GEN-0032,RARS-LUB,06,8,diesel,portable,reserved,51.25,22.57
GEN-0033,MSW-BIA,20,8,diesel,portable,available,53.13,23.16
GEN-0034,MSW-BIA,20,200,diesel,trailer,reserved,53.13,23.16
GEN-0035,RARS-LUB,06,80,LPG,trailer,available,51.25,22.57
GEN-0036,MSW-BIA,20,20,LPG,portable,reserved,53.13,23.16
GEN-0037,MSW-BIA,20,80,diesel,portable,available,53.13,23.16
GEN-0038,MSW-BIA,20,50,petrol,trailer,maintenance,53.13,23.16
GEN-0039,RARS-LUB,06,80,diesel,portable,available,51.25,22.57
GEN-0040,RARS-OLS,28,8,LPG,portable,reserved,53.78,20.48
GEN-0041,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0042,RARS-POZ,30,20,diesel,trailer,available,52.41,16.93
GEN-0043,MSW-BIA,20,12,petrol,portable,maintenance,53.13,23.16
GEN-0044,RCB-WAW,14,200,petrol,portable,reserved,52.23,21.01
GEN-0045,RARS-POZ,30,200,diesel,portable,reserved,52.41,16.93
GEN-0046,RCB-WAW,14,50,petrol,trailer,maintenance,52.23,21.01
GEN-0047,MSW-BIA,20,80,LPG,trailer,maintenance,53.13,23.16
GEN-0048,RCB-WAW,14,200,petrol,trailer,reserved,52.23,21.01
GEN-0049,MSW-BIA,20,20,diesel,trailer,reserved,53.13,23.16
GEN-0050,MSW-BIA,20,30,LPG,trailer,available,53.13,23.16
GEN-0051,RARS-OLS,28,50,LPG,trailer,available,53.78,20.48
GEN-0052,MSW-BIA,20,50,petrol,trailer,available,53.13,23.16
GEN-0053,RARS-POZ,30,50,diesel,trailer,available,52.41,16.93
GEN-0054,MSW-BIA,20,8,LPG,portable,maintenance,53.13,23.16
GEN-0055,RARS-OLS,28,8,diesel,portable,maintenance,53.78,20.48
GEN-0056,RCB-WAW,14,20,LPG,trailer,reserved,52.23,21.01
GEN-0057,MSW-BIA,20,120,petrol,trailer,available,53.13,23.16
GEN-0058,RARS-LUB,06,30,LPG,portable,maintenance,51.25,22.57
GEN-0059,RARS-OLS,28,200,diesel,trailer,available,53.78,20.48
GEN-0060,RARS-OLS,28,12,LPG,portable,available,53.78,20.48
GEN-0061,RARS-POZ,30,80,petrol,portable,available,52.41,16.93
GEN-0062,RARS-LUB,06,200,LPG,trailer,available,51.25,22.57
GEN-0063,RARS-LUB,06,50,diesel,portable,available,51.25,22.57
GEN-0064,RCB-WAW,14,20,diesel,trailer,available,52.23,21.01
GEN-0065,RCB-WAW,14,12,LPG,portable,available,52.23,21.01
GEN-0066,MSW-BIA,20,80,petrol,trailer,available,53.13,23.16
GEN-0067,RCB-WAW,14,20,petrol,portable,reserved,52.23,21.01
GEN-0068,RARS-POZ,30,30,diesel,portable,available,52.41,16.93
GEN-0069,RCB-WAW,14,30,LPG,trailer,available,52.23,21.01
GEN-0070,MSW-BIA,20,8,LPG,portable,available,53.13,23.16
GEN-0071,MSW-BIA,20,20,petrol,trailer,available,53.13,23.16
GEN-0072,RARS-POZ,30,30,LPG,trailer,maintenance,52.41,16.93
GEN-0073,RARS-POZ,30,120,diesel,trailer,maintenance,52.41,16.93
GEN-0074,RARS-OLS,28,50,petrol,portable,maintenance,53.78,20.48
GEN-0075,RARS-OLS,28,200,petrol,trailer,maintenance,53.78,20.48
GEN-0076,RCB-WAW,14,12,petrol,portable,available,52.23,21.01
GEN-0077,RARS-LUB,06,30,LPG,trailer,maintenance,51.25,22.57
GEN-0078,RCB-WAW,14,120,diesel,trailer,reserved,52.23,21.01
GEN-0079,MSW-BIA,20,120,diesel,trailer,available,53.13,23.16
GEN-0080,MSW-BIA,20,30,petrol,trailer,maintenance,53.13,23.16
GEN-0081,RARS-LUB,06,20,petrol,trailer,reserved,51.25,22.57
GEN-0082,MSW-BIA,20,30,petrol,trailer,available,53.13,23.16
GEN-0083,RARS-LUB,06,8,LPG,portable,available,51.25,22.57
GEN-0084,RARS-LUB,06,12,LPG,portable,available,51.25,22.57
GEN-0085,MSW-BIA,20,200,petrol,portable,available,53.13,23.16
GEN-0086,RARS-POZ,30,200,diesel,trailer,maintenance,52.41,16.93
GEN-0087,RARS-LUB,06,50,diesel,trailer,reserved,51.25,22.57
GEN-0088,RCB-WAW,14,200,petrol,trailer,reserved,52.23,21.01
GEN-0089,RARS-OLS,28,50,diesel,trailer,available,53.78,20.48
GEN-0090,RARS-POZ,30,80,diesel,portable,available,52.41,16.93
