gmina_code,powiat_code,voivodeship_code,gmina_name,gmina_type,population,population_density,lat,lon,rurality_index
0201001,0201,02,gmina dolnośląskie-południowy-01-01,wiejska,17584,72.2,51.30459,16.44265,1
0201002,0201,02,gmina dolnośląskie-południowy-01-02,miejska,33232,472.8,51.22582,16.2279,0.08
0201003,0201,02,gmina dolnośląskie-południowy-01-03,miejsko-wiejska,3664,16.7,51.42327,16.57267,0.45
0201004,0201,02,gmina dolnośląskie-południowy-01-04,miejsko-wiejska,9492,49.5,51.21724,16.36451,0.45
0201005,0201,02,gmina dolnośląskie-południowy-01-05,wiejska,4113,27.5,51.22304,16.09353,1
0201006,0201,02,gmina dolnośląskie-południowy-01-06,wiejska,7849,88.9,51.4315,16.48897,1
0201007,0201,02,gmina dolnośląskie-południowy-01-07,wiejska,8160,18.9,51.2211,16.29149,1
0202001,0202,02,gmina dolnośląskie-wschodni-02-01,miejska,13751,225.3,51.29564,17.19225,0.08
0202002,0202,02,gmina dolnośląskie-wschodni-02-02,miejsko-wiejska,11125,53.3,51.17077,17.39523,0.45
0202003,0202,02,gmina dolnośląskie-wschodni-02-03,miejska,49877,895.1,51.50827,17.42431,0.08
0202004,0202,02,gmina dolnośląskie-wschodni-02-04,miejsko-wiejska,4798,26.3,51.42652,17.48558,0.45
0202005,0202,02,gmina dolnośląskie-wschodni-02-05,wiejska,18000,59.3,51.3693,17.19335,1
0202006,0202,02,gmina dolnośląskie-wschodni-02-06,miejska,22073,241.1,51.36092,17.31329,0.08
0202007,0202,02,gmina dolnośląskie-wschodni-02-07,miejsko-wiejska,9478,64.3,51.3098,17.47337,0.45
0203001,0203,02,gmina dolnośląskie-zachodni-03-01,wiejska,6315,18.1,50.39139,15.9787,1
0203002,0203,02,gmina dolnośląskie-zachodni-03-02,wiejska,6012,37.6,50.21916,15.8028,1
0203003,0203,02,gmina dolnośląskie-zachodni-03-03,miejsko-wiejska,2554,12,50.36232,16.16263,0.45
0203004,0203,02,gmina dolnośląskie-zachodni-03-04,wiejska,17202,46.8,50.40612,16.46486,1
0203005,0203,02,gmina dolnośląskie-zachodni-03-05,wiejska,4026,12,50.26826,16.02282,1
0203006,0203,02,gmina dolnośląskie-zachodni-03-06,miejska,21976,420.0,50.5791,16.12333,0.08
0203007,0203,02,gmina dolnośląskie-zachodni-03-07,wiejska,26400,115.2,50.56905,16.16701,1
0204001,0204,02,gmina dolnośląskie-centralny-04-01,wiejska,8788,42.5,51.53004,16.8793,1
0204002,0204,02,gmina dolnośląskie-centralny-04-02,miejsko-wiejska,5226,27.0,51.10516,16.63791,0.45
