grid_asset_id,asset_type,operator_region,primary_gmina_code,served_gminas,customers_served,lat,lon,icing_susceptibility
GRID-0001,MV_line,20,2007003,2007003|2802006|2602004|1421001|3205006,24628,52.91939,22.38979,0.72
GRID-0002,MV_line,22,2208006,2208006|0222003|1207002|1214004|1204006,39184,54.49064,19.4011,0.562
GRID-0003,transformer,24,2423005,2423005|1213007,4662,50.34833,19.26828,0.291
GRID-0004,MV_line,16,1601001,1601001|3034002|1001007|2007004|1412007,32851,50.15368,17.54867,0.483
GRID-0005,GPZ,30,3020001,3020001|1436005|2418004|2819003|1817002|1220005|3207005|0225001,64339,52.81678,18.05068,0.411
GRID-0006,MV_line,24,2432005,2432005|2406001|2423001|2434003|2410003,21119,50.62181,18.81479,0.463
GRID-0007,MV_line,22,2214003,2214003|1607004|1423006|2013002|0215004,11801,54.2049,19.09289,0.287
GRID-0008,MV_line,10,1015001,1015001|0415003|1822002|0419002|1436003,19851,52.18017,18.55219,0.411
GRID-0009,MV_line,28,2807005,2807005|1425006|1219002|0605005|0617003,29379,53.75764,21.1414,0.925
GRID-0010,MV_line,04,0412006,0412006|1203002|1805003|1201001|1802005,63336,52.71895,18.18508,0.828
GRID-0011,MV_line,14,1410003,1410003|1021004|3221004|0804005|3014006,57755,52.67107,19.22569,0.52
GRID-0012,GPZ,14,1416006,1416006|1428007|1813005|2210006|2212001|3205001|0207007|2601003,44351,52.12639,20.2528,0.376
GRID-0013,transformer,28,2815001,2815001|2206004,6615,53.73166,20.32995,0.599
GRID-0014,line_110kV,12,1219002,1219002|2603001|1222006|2817002|3209006|3021003|2435001|2430001|1809005|0421002|1605002|1019007|2407006|2220002,53145,50.45026,19.94641,0.303
GRID-0015,MV_line,12,1208005,1208005|0218005|2007006|0805003|3203003,23693,50.81957,18.99916,0.472
GRID-0016,MV_line,06,0623001,0623001|2806003|1819002|1809001|1217007,27786,51.16893,21.88245,0.357
GRID-0017,MV_line,24,2401002,2401002|3011002|1439003|1612006|3209006,22239,51.21438,19.00499,0.516
GRID-0018,MV_line,02,0214005,0214005|0805003|0813007|1803002|3032001,29800,51.06209,17.00322,0.637
GRID-0019,transformer,32,3220005,3220005|2202001,27146,52.96895,14.92727,0.319
GRID-0020,line_110kV,20,2012003,2012003|0408002|3009001|2015006|1020002|2603002|0611004|1802003|3032006|2423003|1442002|0602004|1010003|0609001,106871,53.29967,22.95203,0.53
GRID-0021,line_110kV,30,3021004,3021004|2612005|0216005|1019002|1202004|0411005|2015004|1430001|1206004|1222003|1434003|3002001|0411007|2425004,66098,52.25467,16.45986,0.148
GRID-0022,MV_line,04,0404005,0404005|1010004|1801002|2215004|2202001,123167,52.89192,18.04268,0.264
GRID-0023,transformer,10,1001007,1001007|3010003,12313,51.73672,19.81933,0.208
GRID-0024,MV_line,22,2220005,2220005|2017005|1206006|0624001|1206003,29246,53.35353,17.97949,0.319
GRID-0025,MV_line,16,1603002,1603002|1002007|3221002|3201005|1603005,15504,50.96454,17.29082,0.865
GRID-0026,line_110kV,32,3210002,3210002|1425002|1204001|0205003|0807004|2419003|0408004|2207005|1408004|3003001|1802004|3032005|2614002|2429002,179342,53.8866,14.79131,0.754
GRID-0027,MV_line,24,2431001,2431001|1432004|2426005|1813006|1438001,27182,50.06971,18.75396,0.559
GRID-0028,MV_line,22,2202001,2202001|2218004|1409006|1015001|2410001,31074,54.77811,18.52224,0.42
GRID-0029,MV_line,24,2427005,2427005|3032003|0603007|2203005|0226004,21714,49.89624,18.26705,0.219
GRID-0030,transformer,14,1404002,1404002|1424002,13239,52.68494,20.1999,0.88
GRID-0031,MV_line,30,3011002,3011002|1213001|2802001|2215006|3021004,23801,52.03824,15.53128,0.426
GRID-0032,transformer,06,0618007,0618007|0609004,18497,51.32926,22.49823,0.602
GRID-0033,transformer,28,2809004,2809004|2215001,14613,53.63314,19.97976,0.453
GRID-0034,line_110kV,24,2423001,2423001|2810004|0227001|2430005|0216005|0413006|2430003|2012003|1811005|2207005|1023006|2205006|0223001|0207002,90185,50.53357,19.22179,0.572
GRID-0035,line_110kV,14,1410005,1410005|1801003|2432001|2610001|2430001|0410007|0419003|3018004|1405006|2413006|0806001|2436004|1427003|1004003,71871,52.62247,19.58056,0.664
GRID-0036,transformer,10,1009006,1009006|1013005,3318,51.75786,19.56547,0.408
GRID-0037,line_110kV,14,1436001,1436001|1008004|0416003|0207004|1423007|0813006|2415006|1821004|1014001|1212006|0221002|3007004|1212004|2416006,87382,52.88142,19.75131,0.685
GRID-0038,transformer,02,0228007,0228007|0608002,3534,50.88995,16.69981,0.331
GRID-0039,MV_line,22,2201005,2201005|0401005|3217004|0203006|0229004,23539,54.24161,19.52121,0.463
GRID-0040,transformer,20,2009005,2009005|2007006,8073,53.5992,23.30414,0.72
GRID-0041,line_110kV,14,1403005,1403005|2403001|0217003|0209004|1807002|1022004|0407007|1215001|0604004|1008002|1007006|0226006|2218006|2815001,98278,52.67303,21.10199,0.665
GRID-0042,transformer,06,0611001,0611001|3027006,13981,51.55068,21.90744,0.996
GRID-0043,MV_line,10,1020007,1020007|2204006|2407002|0618005|1221007,26538,51.70365,20.12648,0.368
GRID-0044,line_110kV,12,1211001,1211001|1011005|0209006|2209005|1607001|0208001|2017006|1210004|2428003|1214006|0409005|1426007|2004001|0226005,41050,49.85825,19.89911,0.227
GRID-0045,transformer,04,0410003,0410003|1440004,17346,53.36297,18.40067,0.406
GRID-0046,MV_line,32,3217006,3217006|3010002|3032005|1010003|1411003,58929,53.33864,14.17582,0.374
GRID-0047,MV_line,06,0603004,0603004|0801006|1804003|1012005|1608001,22690,51.39645,22.8795,0.656
GRID-0048,GPZ,26,2608002,2608002|3208004|2421004|2013002|2814001|1222001|2808006|3210002,48506,51.74918,19.65774,0.31
GRID-0049,line_110kV,02,0208006,0208006|1602006|1402003|2407005|1406004|0417004|0406001|0804004|2007006|2805004|1437004|1204002|0812006|2008005,63669,51.10763,16.50728,0.349
GRID-0050,MV_line,12,1205005,1205005|3217003|2418001|1802003|0802004,41971,49.96946,19.6199,0.588
GRID-0051,MV_line,14,1426006,1426006|2820005|2218003|1432006|0214007,30026,52.90414,21.66506,0.867
GRID-0052,transformer,12,1220001,1220001|1811001,13003,50.03197,19.72548,0.601
GRID-0053,line_110kV,14,1405006,1405006|1409003|1216002|2012004|2821001|1610002|1017003|2417001|0204004|0408006|2614005|0411007|1022005|0401004,58356,52.45562,21.34924,0.74
GRID-0054,transformer,08,0806006,0806006|0601005,12012,52.51913,15.04956,0.404
GRID-0055,MV_line,10,1011005,1011005|1402002|2811004|0416006|2406001,23174,51.76878,19.84524,0
GRID-0056,MV_line,24,2434001,2434001|1407003|2404004|1013002|1409005,33932,50.34313,18.51015,0.363
GRID-0057,MV_line,14,1441003,1441003|1203006|1423001|2607004|0417006,33849,52.5326,20.79562,0.672
GRID-0058,MV_line,18,1822004,1822004|2436004|2416003|2403005|2810001,27281,49.64568,21.60702,0.539
GRID-0059,transformer,24,2411001,2411001|0212005,6303,50.99119,18.99455,0.293
GRID-0060,MV_line,20,2012004,2012004|1439005|3215003|3010006|0813003,109642,53.36267,23.00317,0.961
GRID-0061,transformer,30,3021004,3021004|2011006,9210,52.25467,16.45986,0.338
