heating_point_id,heating_point_type,gmina_code,capacity,has_generator,has_independent_stove,availability_status,power_need_kw,lat,lon
HP-0001,community_hall,2603004,130,False,False,available,21.3,50.74079,19.78139
HP-0002,OSP_station,0614001,35,True,False,available,4.0,51.62138,22.48593
HP-0003,sports_hall,1817001,345,True,True,available,48.7,49.80579,21.95989
HP-0004,culture_center,2605006,201,True,False,needs_staff,26.5,50.3369,20.13329
HP-0005,community_hall,2430001,104,False,True,available,11.2,50.58588,19.34071
HP-0006,school,1009007,136,False,False,available,24.7,51.84674,19.35824
HP-0007,culture_center,1429002,212,False,False,available,30.2,52.79203,21.71285
HP-0008,OSP_station,1815001,118,True,True,available,20.5,49.50615,20.77688
HP-0009,sports_hall,3201003,371,False,True,needs_staff,62.0,53.29802,14.14291
HP-0010,school,0622004,77,False,True,available,14.0,51.64587,22.90691
HP-0011,community_hall,2811006,146,False,False,available,24.1,53.47387,21.1446
HP-0012,school,0608002,148,False,False,available,21.6,50.78465,22.69474
HP-0013,school,2212001,158,False,True,needs_staff,21.8,54.06186,18.8438
HP-0014,sports_hall,0610005,205,False,True,available,36.8,51.54233,22.99274
HP-0015,community_hall,1612005,71,True,True,available,11.8,50.62332,18.38301
HP-0016,OSP_station,3023005,193,False,False,available,20.9,52.74285,15.37621
HP-0017,OSP_station,0412004,35,True,False,available,5.7,52.96531,18.23814
HP-0018,sports_hall,1440006,322,True,False,available,54.1,51.9603,21.30568
HP-0019,sports_hall,3007006,357,False,False,available,61.3,51.65632,16.99917
HP-0020,community_hall,2429006,58,False,True,available,10.0,50.40619,18.65335
HP-0021,culture_center,2208005,76,True,True,needs_staff,7.8,54.4078,19.4751
HP-0022,sports_hall,3212002,288,False,False,available,45.0,53.88268,15.21968
HP-0023,community_hall,2217003,159,False,False,available,18.0,53.56895,17.75335
HP-0024,culture_center,1403005,207,False,False,available,38.6,52.61902,21.11431
HP-0025,OSP_station,1406005,43,True,False,available,7.4,52.05774,20.28556
HP-0026,OSP_station,3018002,114,False,False,available,20.7,52.91007,16.54332
HP-0027,sports_hall,1003001,264,False,True,available,28.5,51.9261,18.98998
HP-0028,culture_center,2608003,132,True,False,needs_staff,24.3,51.75668,19.54676
HP-0029,culture_center,2014002,39,False,True,available,3.6,53.10843,23.21314
HP-0030,sports_hall,0409005,347,False,False,available,52.3,52.8116,18.90115
HP-0031,sports_hall,1809005,292,False,False,available,48.8,50.18723,21.72131
HP-0032,sports_hall,1207006,341,False,True,available,39.6,49.24152,19.02307
HP-0033,sports_hall,3212004,334,False,True,available,65.8,53.77095,15.36762
HP-0034,school,2409003,152,True,False,available,17.4,50.78657,18.60717
HP-0035,sports_hall,2412003,319,False,False,available,29.6,50.30276,19.66606
HP-0036,sports_hall,3031003,293,False,True,available,50.6,52.28883,17.31968
HP-0037,OSP_station,1810005,35,False,True,available,5.7,49.95722,21.88569
HP-0038,school,3015006,120,False,True,needs_staff,24.6,53.24372,17.00872
HP-0039,community_hall,1402002,131,False,True,available,14.5,51.80603,20.32084
HP-0040,culture_center,1011002,139,False,False,available,17.4,51.82454,19.9719
HP-0041,school,0416005,168,False,True,needs_staff,31.1,53.19805,18.4462
HP-0042,culture_center,3201001,170,False,False,needs_staff,28.3,53.34105,13.6903
HP-0043,school,2611003,169,False,False,available,34.9,51.15313,19.57836
HP-0044,community_hall,0614007,195,True,False,available,41.2,51.42463,22.72546
HP-0045,OSP_station,3213003,97,True,True,available,19.2,52.73944,13.93859
HP-0046,sports_hall,2431002,291,False,False,needs_staff,24.0,50.09584,18.7049
HP-0047,OSP_station,1612003,46,False,False,available,6.2,50.75909,18.7024
HP-0048,community_hall,3023001,35,False,True,available,4.3,52.55951,15.3527
HP-0049,community_hall,0605001,89,False,False,available,13.0,51.24633,22.14769
HP-0050,school,2419001,150,False,False,available,21.5,50.56992,18.61725
HP-0051,community_hall,1013001,39,False,True,available,5.7,51.52231,18.91249
HP-0052,school,1602002,213,True,False,available,39.2,50.81317,18.02712
HP-0053,sports_hall,2212002,283,False,True,needs_staff,47.6,53.91393,18.89735
HP-0054,school,0411006,152,True,True,available,26.5,53.21952,18.07107
HP-0055,OSP_station,0611005,73,False,False,available,6.1,51.76654,21.93261
HP-0056,community_hall,2010006,149,False,False,needs_staff,24.2,53.03388,23.35601
HP-0057,sports_hall,1801005,300,False,True,available,25.0,49.51316,21.29711
HP-0058,community_hall,2802004,139,True,True,available,21.2,52.96715,20.96129
HP-0059,culture_center,0406007,187,False,True,available,28.1,52.37833,17.66575
HP-0060,community_hall,0423007,185,False,False,available,25.1,52.63703,18.23638
HP-0061,culture_center,1213003,35,False,True,available,6.1,50.04645,20.29596
HP-0062,community_hall,0805003,42,True,True,available,7.2,52.9256,15.15964
HP-0063,community_hall,3205004,58,False,True,available,11.9,53.52333,15.17963
HP-0064,sports_hall,0201001,283,False,False,available,36.1,51.30716,16.47264
HP-0065,culture_center,0809006,152,True,False,needs_staff,18.1,51.97562,15.80389
HP-0066,OSP_station,0811003,136,True,True,needs_staff,21.4,51.57647,15.5899
HP-0067,culture_center,2424003,60,True,True,available,6.7,50.41188,20.04865
HP-0068,culture_center,3006006,128,False,False,needs_staff,14.7,53.14636,16.58031
HP-0069,OSP_station,1434004,35,False,False,available,6.7,51.36815,21.25894
HP-0070,community_hall,2201003,130,True,True,needs_staff,26.3,54.2378,19.38802
HP-0071,OSP_station,3203005,46,False,False,available,7.8,52.40579,13.84335
HP-0072,culture_center,2420003,146,False,True,available,14.8,50.18611,19.00011
HP-0073,sports_hall,1024004,388,False,False,available,32.9,51.63083,19.06857
HP-0074,culture_center,1206003,193,False,False,available,28.5,49.83269,19.95631
HP-0075,sports_hall,1607002,416,True,True,available,89.4,50.7489,18.53251
HP-0076,school,1439003,182,True,False,available,25.3,52.45551,21.77764
HP-0077,sports_hall,3033003,304,False,True,available,54.2,52.03714,16.94855
HP-0078,community_hall,1442002,110,True,False,available,20.5,52.31411,21.73606
HP-0079,OSP_station,2411006,55,False,False,available,10.4,50.7236,19.13822
HP-0080,school,1812002,95,False,True,available,13.9,50.14946,21.90835
HP-0081,school,0423002,174,False,True,available,24.3,52.62024,18.22162
HP-0082,culture_center,3206006,211,False,False,needs_staff,39.4,52.79928,14.08529
HP-0083,community_hall,0205006,172,False,False,available,20.1,51.03979,16.61911
HP-0084,sports_hall,2813004,314,False,True,available,39.5,54.35547,22.25036
HP-0085,sports_hall,2211001,379,False,True,available,36.9,54.25468,18.86704
HP-0086,sports_hall,0622005,270,False,True,available,51.0,51.75542,22.80632
HP-0087,OSP_station,1436001,143,False,False,available,20.3,52.87813,19.74562
HP-0088,sports_hall,0407004,371,True,False,available,76.8,52.6801,18.56435
HP-0089,OSP_station,2004002,96,True,False,available,16.7,52.96981,23.41569
HP-0090,community_hall,3018006,68,True,False,available,12.7,52.99076,16.35349
HP-0091,school,0402001,161,True,False,available,25.9,53.07455,18.98516
HP-0092,OSP_station,0201004,93,False,False,available,16.8,51.21488,16.41136
HP-0093,OSP_station,3026003,51,True,False,available,8.2,52.05691,16.65222
HP-0094,sports_hall,1822003,309,True,False,needs_staff,39.0,49.66893,21.79336
HP-0095,community_hall,0612002,107,False,False,available,17.3,50.97437,21.82855
HP-0096,school,1429001,207,True,True,available,36.7,52.77159,21.30582
HP-0097,sports_hall,0219002,250,True,False,available,33.3,51.14402,16.58167
HP-0098,OSP_station,1401005,98,False,False,available,20.2,52.83075,21.11814
HP-0099,school,2409006,153,False,False,needs_staff,23.9,50.89008,19.08378
HP-0100,culture_center,2204002,207,False,False,available,32.5,54.2138,18.86566
HP-0101,community_hall,1608002,54,False,False,available,9.1,51.10973,18.17167
HP-0102,school,2013003,131,False,False,available,15.6,53.52153,22.80979
HP-0103,community_hall,2212003,121,True,True,available,22.7,54.04383,18.89231
HP-0104,OSP_station,2012004,46,False,True,available,8.5,53.36675,23.00495
HP-0105,community_hall,2412002,116,True,True,available,16.2,50.40656,19.83521
HP-0106,school,3016002,178,False,False,available,16.5,52.6616,17.09477
HP-0107,school,1209005,178,False,True,available,25.0,49.42502,20.95951
HP-0108,community_hall,1011004,92,False,False,available,18.9,52.09678,19.66082
HP-0109,community_hall,2603003,88,True,False,available,15.0,50.79086,19.98202
HP-0110,school,3211005,240,True,True,available,40.5,52.87453,13.11274
HP-0111,sports_hall,1020001,324,False,False,available,64.3,51.70021,19.55064
HP-0112,OSP_station,3023003,94,False,False,available,14.9,52.62534,15.57517
HP-0113,culture_center,2014005,77,False,False,available,15.6,53.1837,23.52712
HP-0114,culture_center,1823001,195,False,False,available,28.0,50.25192,22.71288
HP-0115,sports_hall,2219006,307,False,True,available,26.0,54.05751,17.68
HP-0116,school,0814002,195,False,True,available,25.6,52.64809,15.58445
HP-0117,sports_hall,1432006,330,False,False,available,29.8,52.0339,21.10088
HP-0118,community_hall,0621004,145,True,True,available,23.9,50.79394,22.39193
HP-0119,school,0802005,185,True,False,available,32.1,52.20621,15.62779
HP-0120,OSP_station,0207006,186,True,True,needs_staff,16.0,50.95989,17.59134
HP-0121,sports_hall,0412007,354,False,False,available,33.0,52.93403,17.97148
HP-0122,sports_hall,0210002,357,False,True,available,58.1,51.36378,16.94675
HP-0123,culture_center,0808002,62,False,False,needs_staff,7.7,52.14849,15.61766
HP-0124,school,3214006,185,True,False,available,21.0,53.41174,15.05985
HP-0125,school,2413002,205,False,True,needs_staff,25.9,50.0869,18.61807
HP-0126,OSP_station,0803004,119,False,True,available,17.8,51.90817,14.79615
HP-0127,community_hall,0420004,118,False,True,available,18.1,53.09803,18.4945
HP-0128,culture_center,0804003,129,False,False,available,16.6,51.97434,15.19178
HP-0129,school,2219001,170,True,False,available,27.2,54.08928,17.66274
HP-0130,OSP_station,2426003,117,False,False,available,13.1,50.16402,18.33459
HP-0131,culture_center,2405005,120,True,False,needs_staff,23.5,50.31557,19.17097
HP-0132,culture_center,1015002,105,False,False,available,18.1,52.31996,18.90166
HP-0133,OSP_station,2425003,35,False,False,available,6.3,50.21599,18.70694
HP-0134,community_hall,2812006,79,False,True,available,12.2,53.52011,19.48551
HP-0135,sports_hall,2404005,439,True,False,available,37.2,50.28304,18.81303
HP-0136,school,3021001,198,False,False,available,31.4,52.33337,16.82626
HP-0137,community_hall,2422003,123,False,True,available,11.9,50.54724,19.71613
HP-0138,school,3203002,175,False,False,available,29.8,52.25286,13.75079
HP-0139,sports_hall,1819005,332,True,True,needs_staff,61.2,49.93809,22.76528
